platform,title,developer,score,num_of_reviews
X360,LEGO Batman 2: DC Super Heroes,TT Games/Warner Bros. Interactive Entertainment,79.54,45
PS4,Dragon's Crown Pro,Vanillaware/Atlus,79.52,29
XONE,Metro Exodus,4A Games/Deep Silver,79.46,12
NS,Another World,The Digital Lounge/Limited Run Games,79.43,7
NS,Blossom Tales: The Sleeping King,Castle Pixel,79.38,8
NS,Darksiders: Warmastered Edition,Nordic Games Publishing/THQ Nordic,79.29,7
3DS,Yo-kai Watch 3,Level 5/Nintendo,79.29,7
PS4,RIGS: Mechanized Combat League,Guerilla Cambridge/Sony Interactive Entertainment,79.05,29
PS4,Metro Exodus,4A Games/Deep Silver,79.00,21
NS,Tangledeep,Impact Gameworks,79.00,5
PC,The Settlers 7: Paths to a Kingdom,Blue Byte/Ubisoft,78.78,18
NS,Final Fantasy IX,SquareSoft/Square Enix,78.67,9
X360,Lost Planet: Extreme Condition,Capcom,78.56,88
NS,ToeJam & Earl: Back in the Groove,Humanature Studios/Limited Run Games,78.46,13
NS,Golf Peaks,Afterburn/7Levels,78.44,9
PS4,Firewall Zero Hour,First Contact Entertainment/Sony Interactive Entertainment,78.44,18
XONE,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,78.31,13
XONE,Tom Clancy's The Division 2,Massive Entertainment/Ubisoft,78.25,8
PC,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,78.12,8
PS4,Forgotton Anne,Throughline Games/Square Enix,78.07,14
X360,Command & Conquer: Red Alert 3,EA LA/Electronic Arts,78.03,33
NS,Bombslinger,Mode4/Chorus Worldwide,78.00,5
X360,Lost Planet: Extreme Condition Colonies Edition,Capcom,77.98,22
PS4,The Persistence,Firesprite,77.91,11
NS,My Memory of Us,Juggler Games / Crunching Koalas/Crunching Koalas,77.88,8
NS,Musynx,PM Studios Inc.,77.86,7
NS,Victor Vran: Overkill Edition,Haemimont Games,77.78,9
PS4,Fate/Extella Link,Marvelous Inc./XSEED Games,77.78,9
PS4,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,Skybound Games/Telltale Games,77.57,7
PS4,Street Fighter V,Capcom,77.40,59
X360,Brothers in Arms: Hell's Highway,Gearbox Software/Ubisoft,77.19,61
NS,"Bury me, my Love",Plug In Digital,77.19,8
XONE,Madden NFL 19,EA Tiburon/Electronic Arts,77.18,11
NS,Chocobo's Mystery Dungeon: Every Buddy!,Square Enix,77.00,5
PS4,Victor Vran: Overkill Edition,Haemimont Games,76.92,13
PC,Catherine Classic,Atlus/Sega,76.89,9
NS,Mechstermination Force,Horberg Productions,76.80,5
XONE,Ace Combat 7: Skies Unknown,Bandai Namco Games,76.67,6
NS,Skies of Fury DX,Seed Interactive/IlluminationGames,76.50,6
PS4,Utawarerumono: Mask of Truth,Aqua Plus,76.27,11
PS4,Trials Rising,RedLynx/Ubisoft,76.20,22
NS,Pikuniku,Sectordub/Devolver Digital,76.18,17
NS,The Adventure Pals,Massive Monster/Super Rare Games,76.12,8
NS,Bomb Chicken,Nitrome/Limited Run Games,76.11,9
X360,Battlestations: Pacific,Eidos Interactive/Square Enix,76.11,37
PS4,Riddled Corpses EX,COWCAT/Red Art Games,75.83,6
NS,Marble It Up!,Bad Habit Productions/Marble It Up,75.78,9
X360,Command & Conquer 3: Kane's Wrath,EA LA/Electronic Arts,75.44,31
PC,The Walking Dead: The Telltale Series - The Final Season Episode 3: Broken Toys,Skybound Games/Telltale Games,74.78,9
NS,Observer,Bloober Team,74.13,8
PS4,Mutant Year Zero: Road to Eden,The Bearded Ladies Consulting/Funcom,74.09,11
PS4,EVERSPACE,ROCKFISH Games,74.00,5
PS4,The Liar Princess and the Blind Prince,Nippon Ichi Software/NIS America,74.00,5
PS4,The Council,Big Bad Wolf/Maximum Games,73.33,6
NS,Unruly Heroes,Magic Design Studios,73.20,5
PS4,Life is Strange 2: Episode 2 - Rules,DONTNOD Entertainment/Square Enix,73.18,11
PS4,The Mage's Tale,InXile Entertainment,73.17,6
X360,Command & Conquer: Red Alert 3 - Commander's Challenge,EA LA/Electronic Arts,73.09,11
PC,Arcade Spirits,Fiction Factory Games/PQube,73.00,5
PS4,No Heroes Allowed! VR,Acquire/Sony Interactive Entertainment,73.00,5
PS4,Death end re:Quest,Compile Heart/Idea Factory,72.81,16
PS4,Genesis Alpha One,Radiation Blue/Team 17,72.70,10
PS4,Dead or Alive 6,Team Ninja/Koei Tecmo Games,72.55,39
NS,Everything,David OReilly,72.50,6
3DS,Super Mario Maker for Nintendo 3DS,Nintendo,72.42,30
NS,Onimusha: Warlords,NeoBards Entertainment/Capcom,72.31,16
PS4,Monster Energy Supercross:  The Official Videogame 2,Milestone S.r.l,72.20,10
PS4,Far Cry New Dawn,Ubisoft Montreal/Ubisoft,72.11,36
PC,My Time At Portia,Pathea Games,71.94,17
PS4,Dragon Ball: Xenoverse 2,Dimps Corporation/Bandai Namco Games,71.89,27
